"cue","response","fsg","bsg","was_comp","cos","lsa419","lsa300","bgl_item","bgl_comp","t1700","t900","lch","jcn","lesk"
"bear","tiger",0.01,0,0.37807,0.394,0.005,0.08,0.24792387,0.494305377,0.000027,0.00001,1.280933845,0.056261357,0
"beaver","otter",0.014,0.093,2.37025,0.555,0.337,0.39,0.104228305,0.144667694,0.000699,0.00021,2.48490665,0.162632715,1.125
"bed","pillow",0.016,0.133,2.70136,0.374,0.792,0.81,0.43651974,0.530695092,0.010583,0.012866,1.386294361,0.060172342,0.094444444
"bedroom","house",0.043,0,1.45862,0.019,0.327,0.37,0.550376898,0.683074616,0.018966,0.020786,1.791759469,0.113048819,0.35383288
"belt","pants",0.307,0.011,3.45947,0.082,0.351,0.38,0.254852091,0.293626256,0.001143,0.001994,0.875468737,0.05203163,0
"belt","rope",0.016,0,0.47001,0.11,0.208,0.28,0.31944683,0.43462673,0.00383,0.002339,1.386294361,0.050702864,0.126173709
"belt","tie",0.024,0,0.87547,0.102,0.355,0.43,0.324140672,0.218435257,0.001648,0.001628,1.504077397,0.061916147,0.288095238
"bench","chair",0.109,0.013,2.50144,0.511,0.37,0.39,0.723389393,0.657197974,0.015232,0.046616,2.48490665,0.32845064,1.549575617
"bench","table",0.036,0,1.87595,0.323,0.239,0.31,0.570055902,0.720523596,0.0067,0.010039,2.48490665,0.5304809,1.119047619
"bike","car",0.1,0,2.30259,0.346,0.12,0.22,0.505452084,0.638795096,0.000042,0.0074,2.48490665,0.221473965,1.235523482
"bike","chain",0.013,0,0.26237,0.051,0.135,0.13,0.064379181,0.339946035,0.003043,0.006004,1.504077397,0.076293293,0.49673043
"bike","motorcycle",0.027,0.174,3.00072,0.49,0.586,0.59,0.328226318,0.545411851,0.045427,0.03522,3.583518938,209681401,3.614211246
"bike","tricycle",0.02,0,1.01502,0.516,0.052,0.06,0.234405783,0.279486117,0.000012,0.000005,2.48490665,0.098100114,1.535476869
"bike","wheel",0.033,0,1.19393,0.01,0.469,0.48,0.290240151,0.429932239,0.029778,0.154019,3.583518938,209681401,2.437239755
"biscuit","bread",0.194,0,2.96528,0.249,0.314,0.38,0.217099021,0.238971958,0.008631,0.019462,2.48490665,0.345976256,0.193958845
"biscuit","chicken",0.011,0,0.09531,0.138,0.345,0.41,0.138092223,0.223999086,0.000302,0.000344,1.185623666,0.051329989,0.048198925
"bison","buffalo",0.387,0.061,3.80221,0.829,0.681,0.69,0.479622134,0.464238292,0.04082,0.031469,2.890371758,6.153129381,2.738428705
"bison","bull",0.073,0,1.98788,0.376,0.183,0.22,0.100614752,0.255639504,0.000188,0.000178,0.875468737,0.055946332,0.04248366
"bison","cow",0.013,0,0.87161,0.393,-0.013,0.03,0.092392251,0.245525167,0.00007,0.000051,0.810930216,0.056687228,0.05664488
"bison","moose",0.013,0,0.26237,0.643,0.291,0.34,0.160255314,0.271024789,0.000276,0.001232,1.974081026,0.106347064,0.04187316
"blouse","pants",0.038,0,2.87647,0.379,0.568,0.59,0.393145603,0.301305666,0.003902,0.009525,1.791759469,0.106405562,0.348559486
"blouse","shirt",0.647,0.135,4.35927,0.737,0.592,0.64,0.445132811,0.392062526,0.008912,0.022492,2.197224577,0.121125387,0.154693601
"blouse","skirt",0.071,0.199,3.29584,0.493,0.674,0.7,0.454857206,0.393540747,0.010158,0.01241,2.197224577,0.118804696,0.235902842
"blouse","sweater",0.013,0.047,1.79176,0.317,0.536,0.58,0.401917045,0.369531004,0.002165,0.005229,2.197224577,0.11443272,0.631499109
"blueberry","cherry",0.014,0,1.14664,0.472,0.051,0.05,0.163817742,0.20107731,0.000461,0.003465,1.637608789,0.09367001,0.144457469
"blueberry","pie",0.228,0.016,3.19459,0.285,0.48,0.52,0.315910551,0.249584161,0.028151,0.00962,0.875468737,0.047917553,0.004701124
"blueberry","raspberry",0.034,0.063,2.27213,0.544,0.16,0.2,0.045220484,0.068447078,0.000365,0.001016,2.48490665,0.160590185,0.694654882
"blueberry","strawberry",0.145,0.025,2.83322,0.474,0.335,0.37,0.098924741,0.091561924,0.000074,0.000184,2.48490665,0.1717751,1.06809573
"boat","canoe",0.016,0.429,3.79549,0.217,0.503,0.57,0.509798746,0.686149421,0.01835,0.011171,2.48490665,0.344185545,0.5829392
"boat","ship",0.126,0.575,4.24993,0.276,0.347,0.49,0.607803355,0.785549248,0.013781,0.008684,2.48490665,0.587057375,1.138982958
"boat","yacht",0.031,0.594,4.13517,0.101,0.279,0.36,0.20108033,0.37454775,0.000325,0.002427,2.48490665,0.164963428,1.098725124
"book","magazine",0.031,0.244,3.31419,0.368,0.26,0.29,0.543278327,0.610207859,0.000594,0.001452,2.48490665,0.13929142,1.049026507
"bottle","jar",0.033,0.014,1.54757,0.726,0.478,0.6,0.627163794,0.751776577,0.000172,0.002007,2.48490665,0.118658385,1.611111111
"bowl","cup",0.072,0.043,2.44235,0.106,0.6,0.66,0.411445745,0.631505203,0.010884,0.047508,2.48490665,0.111333721,1.479166667
