frequency,word,part_of_speech
11537,generally,adv
11522,daughter,n
11515,exist,v
11513,used,modal
11505,share,v
11503,baby,n
11484,nearly,adv
11477,smile,v
11453,sorry,a
11430,sea,n
11423,skill,n
11412,claim,n
11394,treat,v
11385,remove,v
11368,concern,n
11367,university,n
11356,labour,a
11343,left,a
11341,dead,a
11315,discussion,n
11306,specific,a
11292,customer,n
11292,box,n
11276,outside,prep
11247,state,v
11243,conference,n
11228,whole,n
11152,total,a
11119,profit,n
11119,division,n
11110,throw,v
11100,procedure,n
11098,fill,v
11045,king,n
11044,assume,v
11024,image,n
11022,oil,n
11014,obviously,adv
11011,unless,conj
11010,appropriate,a
11009,circumstance,n
10998,military,a
10963,proposal,n
10950,mention,v
10948,client,n
10937,sector,n
10905,direction,n
10905,admit,v
10876,though,adv
10873,replace,v
10860,basic,a
10843,hard,adv
10809,instance,n
10808,sign,n
10808,original,a
10803,successful,a
10798,okay,adv
10764,reflect,v
10764,aware,a
10760,measure,n
10758,attitude,n
10746,yourself,pron
10736,disease,n
10729,exactly,adv
10719,above,adv
10712,commission,n
10708,intend,v
10705,beyond,prep
10691,seat,n
10678,president,n
10664,encourage,v
10664,addition,n
10655,goal,n
10635,round,prep
10627,miss,v
10600,popular,a
10561,affair,n
10548,technique,n
10540,respect,n
10537,drop,v
10527,professional,a
10522,less,det
10511,once,conj
10503,item,n
10483,fly,v
10482,reveal,v
10481,version,n
10472,maybe,adv
10468,ability,n
10462,operate,v
10451,good,n
10441,campaign,n
10439,heavy,a
10437,advice,n
10399,institution,n
10398,top,a
10366,discover,v
10361,surface,n
10356,library,n
10320,pupil,n
10315,record,v
10312,refuse,v
10286,prevent,v
10285,advantage,n
10264,dark,a
10248,teach,v
10221,memory,n
10196,culture,n
10176,blood,n
10167,cost,v
10146,majority,n
10140,answer,v
10138,variety,n
10129,press,n
10125,depend,v
10125,bill,n
10119,competition,n
10110,ready,a
10101,general,n
10099,access,n
10098,hit,v
10076,stone,n
10071,useful,a
10071,extent,n
10067,employment,n
10066,regard,v
10040,apart,adv
10023,present,n
10020,appeal,n
10014,text,n
10010,parliament,n
10006,cause,n
9993,terms,n
9969,bar,n
9963,attack,n
9951,effective,a
9930,mouth,n
9928,down,prep
9912,result,v
9901,fish,n
9881,future,a
9878,visit,n
9877,little,adv
9877,easily,adv
9873,attempt,v
9858,enable,v
9826,trouble,n
9819,traditional,a
9811,payment,n
9790,best,adv
9776,post,n
9745,county,n
9739,lady,n
9731,holiday,n
9726,realise,v
9718,importance,n
9718,chair,n
9713,facility,n
9711,complete,v
9710,article,n
9697,object,n
9687,context,n
9676,survey,n
9663,notice,v
9660,complete,a
9656,turn,n
9653,direct,a
9652,immediately,adv
9639,collection,n
9638,reference,n
9632,card,n
9624,interesting,a
9614,considerable,a
9603,television,n
9592,extend,v
9590,communication,n
9579,agency,n
9569,physical,a
9569,except,conj
9566,check,v
9558,sun,n
9555,species,n
9555,possibility,n
9544,official,n
9503,chairman,n
9456,speaker,n
9445,second,n
9441,career,n
9436,laugh,v
9433,weight,n
9432,sound,v
9429,responsible,a
9410,base,n
9399,document,n
9348,solution,n
9348,return,n
9338,medical,a
9331,hot,a
9316,recognise,v
9314,talk,n
9311,budget,n
9300,river,n
9286,fit,v
9272,organization,n
9270,existing,a
9268,start,n
9266,push,v
9243,tomorrow,adv
9234,requirement,n
9227,cold,a
9225,edge,n
9214,opposition,n
9213,opinion,n
9211,drug,n
9203,quarter,n
9189,option,n
9188,sign,v
9183,worth,prep
9182,call,n
9178,define,v
9170,stock,n
9162,influence,n
9152,occasion,n
9138,eventually,adv
9134,software,n
9132,highly,adv
9130,exchange,n
9126,lack,n
9120,shake,v
9100,study,v
9093,concept,n
9089,blue,a
9088,star,n
9066,radio,n
9064,no-one,pron
9054,arrangement,n
9025,examine,v
9021,bird,n
9013,green,a
9003,band,n
9000,sex,n
8998,finger,n
8972,past,n
8968,independent,a
8950,equipment,n
8949,north,n
8946,mind,v
8945,move,n
8938,message,n
8934,fear,n
8934,afternoon,n
8926,drink,v
8911,fully,adv
8901,race,n
8900,gain,v
8895,strategy,n
8885,extra,a
8882,scene,n
8873,slightly,adv
8866,kitchen,n
8860,speech,n
8860,arise,v
8853,network,n
8849,tea,n
8847,peace,n
8841,failure,n
8821,employee,n
8809,ahead,adv
8802,scale,n
8801,hardly,adv
8801,attend,v
8800,shoulder,n
8798,otherwise,adv
8793,railway,n
8784,directly,adv
8769,supply,n
8756,expression,n
8752,owner,n
8743,associate,v
8729,corner,n
8728,past,a
8718,match,n
8698,sport,n
8688,status,n
8670,beautiful,a
8668,offer,n
8668,marriage,n
8668,hang,v
8660,civil,a
8648,perform,v
8645,sentence,n
8637,crime,n
8636,ball,n
8631,marry,v
8624,wind,n
8618,truth,n
8610,protect,v
8609,safety,n
8605,partner,n
8605,completely,adv
8602,copy,n
8601,balance,n
8592,sister,n
8592,reader,n
8587,below,adv
8573,trial,n
8567,rock,n
8552,damage,n
8549,adopt,v
8544,newspaper,n
8530,meaning,n
8512,light,a
8512,essential,a
8510,obvious,a
8508,nation,n
8489,confirm,v
8472,south,n
8472,length,n
8456,branch,n
8444,deep,a
8440,none,pron
8433,planning,n
8428,trust,n
8422,working,a
8408,pain,n
8397,studio,n
8397,positive,a
8384,spirit,n
8375,college,n
8374,accident,n
8371,star,v
8369,hope,n
8326,mark,v
8315,works,n
8309,league,n
8302,clear,v
8300,imagine,v
8296,through,adv
8283,cash,n
8265,normally,adv
8250,play,n
8228,strength,n
8220,train,n
8170,travel,v
8170,target,n
8169,very,a
8143,pair,n
8133,male,a
8133,gas,n
8132,issue,v
8130,contribution,n
8124,complex,a
8123,supply,v
8106,beat,v
8105,artist,n
8100,agent,n
8097,presence,n
8081,along,adv
8054,environmental,a
8049,strike,v
8034,contact,n
8025,protection,n
8018,beginning,n
7992,demand,v
7977,media,n
7950,relevant,a
7945,employ,v
7939,shoot,v
7921,executive,n
7914,slowly,adv
7912,relatively,adv
7903,aid,n
7901,huge,a
7895,late,adv
7885,speed,n
7877,review,n
7868,test,v
7859,order,v
7851,route,n
7844,consequence,n
7842,telephone,n
7822,release,v
7822,proportion,n
7821,primary,a
7808,consideration,n
7806,reform,n
7806,driver,n
7785,annual,a
7776,nuclear,a
7762,latter,det
7753,practical,a
7749,commercial,a
7708,rich,a
7706,emerge,v
7696,apparently,adv
7693,ring,v
7692,distance,n
7686,exercise,n
7679,key,a
7678,close,adv
7668,skin,n
7649,island,n
7641,separate,a
7638,aim,v
7637,danger,n
7634,credit,n
7630,usual,a
7620,link,v
7618,candidate,n
7616,track,n
7613,safe,a
7605,interested,a
7602,assessment,n
7596,path,n
7596,merely,adv
7592,plus,prep
7574,district,n
7570,regular,a
7565,reaction,n
7557,impact,n
7525,collect,v
7520,debate,n
7517,lay,v
7512,rise,n
7509,belief,n
7498,conclusion,n
7495,shape,n
7493,vote,n
7460,aim,n
7456,politics,n
7445,reply,v
7438,press,v
7432,approach,v
7426,file,n
7421,western,a
7412,earth,n
7411,public,n
7398,survive,v
7396,estate,n
7373,boat,n
7368,prison,n
7364,additional,a
7355,settle,v
7350,largely,adv
7341,wine,n
7341,observe,v
7340,limit,v
7339,deny,v
7332,for,conj
7327,straight,adv
7316,somebody,pron
7309,writer,n
7308,weekend,n
7308,clothes,n
7290,active,a
7289,sight,n
7288,video,n
7280,reality,n
7258,hall,n
7236,nevertheless,adv
7231,regional,a
7229,vehicle,n
7224,worry,v
7213,powerful,a
7211,possibly,adv
7210,cross,v
7209,colleague,n
7206,charge,v
7197,lead,n
7189,farm,n
7187,respond,v
7180,employer,n
7180,carefully,adv
7175,understanding,n
7172,connection,n
7172,comment,n
7166,grant,v
7157,concentrate,v
7152,ignore,v
7150,phone,n
7135,hole,n
7122,insurance,n
7116,content,n
7101,confidence,n
7099,sample,n
7088,transport,n
7088,objective,n
7088,alone,a
7086,flower,n
7084,injury,n
7080,lift,v
7079,stick,v
7078,front,a
7065,mainly,adv
7063,battle,n
7050,generation,n
7050,currently,adv
7047,winter,n
7043,inside,prep
7036,impossible,a
7026,somewhere,adv
7021,arrange,v
6995,will,n
6992,sleep,v
6987,progress,n
6974,volume,n
6974,ship,n
6974,legislation,n
6970,commitment,n
6958,enough,det
6956,conflict,n
6955,bag,n
6954,fresh,a
6938,entry,n
6937,smile,n
6936,fair,a
6930,promise,v
6925,introduction,n
6924,senior,a
6924,manner,n
6923,background,n
6922,key,n
6920,touch,v
6917,vary,v
6910,sexual,a
6900,ordinary,a
6900,cabinet,n
6895,painting,n
6892,entirely,adv
6883,engine,n
6873,previously,adv
6865,administration,n
6856,tonight,adv
6855,adult,n
6854,prefer,v
6852,author,n
6849,actual,a
6846,song,n
6838,investigation,n
6835,debt,n
6832,visitor,n
6832,forest,n
6820,repeat,v
6817,wood,n
6816,contrast,n
6814,extremely,adv
6811,wage,n
6803,domestic,a
6783,commit,v
6767,threat,n
6761,bus,n
6756,warm,a
6750,sir,n
6741,regulation,n
6723,drink,n
6721,relief,n
6721,internal,a
6717,strange,a
6717,excellent,a
6715,run,n
6702,fairly,adv
6701,technical,a
6686,tradition,n
6683,measure,v
6683,insist,v
6678,his,pron
6678,farmer,n
6677,until,prep
6677,traffic,n
6667,dinner,n
6663,consumer,n
6654,meal,n
6651,warn,v
6648,living,a
6646,package,n
6639,half,n
6634,increasingly,adv
6634,description,n
6631,soft,a
6627,stuff,n
6625,award,v
6618,existence,n
6616,improvement,n
6614,coffee,n
6606,appearance,n
6588,standard,a
6586,attack,v
6583,sheet,n
6566,category,n
6564,distribution,n
6553,equally,adv
6545,session,n
6543,cultural,a
6538,loan,n
6517,bind,v
6516,museum,n
6515,conversation,n
6510,threaten,v
6509,link,n
6508,launch,v
6504,proper,a
6501,victim,n
6500,audience,n
6485,famous,a
6479,master,n
6477,lip,n
6476,religious,a
6472,joint,a
6460,cry,v
6456,potential,a
6447,broad,a
6445,exhibition,n
6440,experience,v
6437,judge,n
6436,formal,a
6435,housing,n
6426,past,prep
6426,concern,v
6421,freedom,n
6420,gentleman,n
6410,attract,v
6409,explanation,n
6407,appoint,v
6405,note,v
6402,chief,a
6390,total,n
6390,lovely,a
6387,official,a
6371,date,v
6368,demonstrate,v
6366,construction,n
6363,middle,n
6360,yard,n
6359,unable,a
6354,acquire,v
6352,surely,adv
6352,crisis,n
6345,propos,v
6328,west,n
6313,impose,v
6309,market,v
6298,care,v
6297,god,n
6289,favour,n
6285,before,adv
6284,name,v
6277,equal,a
6272,capacity,n
6265,flat,n
6262,selection,n
6262,alone,adv
6261,football,n
6259,victory,n
6259,factory,n
6258,rural,a
6254,twice,adv
6248,sing,v
6236,whereas,conj
6236,own,v
6235,head,v
6232,examination,n
6230,deliver,v
6229,nobody,pron
6222,substantial,a
6222,invite,v
6220,intention,n
6220,egg,n
6209,reasonable,a
6208,onto,prep
6202,retain,v
6200,aircraft,n
6197,decade,n
6196,cheap,a
6194,quiet,a
6190,bright,a
6186,contribute,v
6166,row,n
6165,search,n
6155,limit,n
6153,definition,n
6143,unemployment,n
6139,spread,v
6139,mark,n
6132,flight,n
6130,account,v
6129,output,n
6124,last,v
6117,tour,n
6112,address,n
6107,immediate,a
6106,reduction,n
6093,interview,n
6088,assess,v
6085,promote,v
6084,everybody,pron
6077,suitable,a
6077,ought,modal
6077,growing,a
6073,nod,v
6064,reject,v
6058,while,n
6057,high,adv
6050,dream,n
6048,vote,v
6044,divide,v
6043,declare,v
6030,handle,v
6030,detailed,a
6021,challenge,n
6015,notice,n
6012,rain,n
6004,destroy,v
5998,mountain,n
5987,concentration,n
5984,limited,a
5983,finance,n
5979,pension,n
5968,influence,v
5967,afraid,a
5961,murder,n
5958,neck,n
5954,weapon,n
5954,hide,v
5951,offence,n
5949,absence,n
5945,error,n
5942,representative,n
5936,enterprise,n
5932,criticism,n
5922,average,a
5920,quick,a
5917,sufficient,a
5911,appointment,n
5908,match,v
5902,transfer,v
5897,acid,n
5890,spring,n
5889,birth,n
5888,ear,n
5887,recognize,v
5886,recommend,v
5882,module,n
5882,instruction,n
5880,democratic,a
5879,park,n
5873,weather,n
5872,bottle,n
5872,address,v
5865,bedroom,n
5860,kid,n
5853,pleasure,n
5849,realize,v
5847,assembly,n
5846,expensive,a
5844,select,v
5843,teaching,n
5843,desire,n
5839,whilst,conj
5833,contact,v
5831,implication,n
5825,combine,v
5823,temperature,n
5821,wave,n
5813,magazine,n
5807,totally,adv
5803,mental,a
5800,used,a
5800,store,n
5799,scientific,a
5799,frequently,adv
5794,thanks,n
5785,beside,prep
5782,settlement,n
5782,absolutely,adv
5763,critical,a
5759,recognition,n
5753,touch,n
5751,consist,v
5748,below,prep
5747,silence,n
5746,expenditure,n
5744,institute,n
5738,dress,v
5730,dangerous,a
5724,familiar,a
5721,asset,n
5716,belong,v
5710,educational,a
5707,sum,n
5706,publication,n
5706,partly,adv
5705,block,n
5699,seriously,adv
5686,youth,n
5686,tape,n
5684,elsewhere,adv
5683,cover,n
5680,fee,n
5677,program,n
5672,treaty,n
5670,necessarily,adv
5667,unlikely,a
5667,properly,adv
5665,guest,n
5662,code,n
5652,hill,n
5644,screen,n
5644,household,n
5642,sequence,n
5641,correct,a
5640,female,a
5639,phase,n
5633,crowd,n
5626,welcome,v
5621,metal,n
5612,human,n
5610,widely,adv
5604,undertake,v
5596,cut,n
5594,sky,n
5586,brain,n
5580,expert,n
5577,experiment,n
5575,tiny,a
5574,perfect,a
5560,disappear,v
5555,initiative,n
5554,assumption,n
5549,photograph,n
5544,ministry,n
5544,congress,n
5540,transfer,n
5540,reading,n
5527,scientist,n
5527,fast,adv
5527,fast,a
5521,closely,adv
5517,thin,a
5517,solicitor,n
5517,secure,v
5515,plate,n
5513,pool,n
5512,gold,n
5512,emphasis,n
5511,recall,v
5508,shout,v
5501,generate,v
5499,location,n
5494,display,v
5492,heat,n
5482,gun,n
5476,shut,v
5469,journey,n
5467,imply,v
5466,violence,n
5465,dry,a
5463,historical,a
5459,step,v
5457,curriculum,n
5455,noise,n
5455,lunch,n
5453,fear,v
5451,succeed,v
5441,fall,n
5441,bottom,n
